time,open,high,low,close,Range Filter,High Target,Low Target,upward,BBWP,Extreme Hi,Extreme Lo,MA 1,MA 2
1617235200,58787.5975,64898.555,47012.0525,57789.0575,NaN,NaN,NaN,0,73.18840579710145,NaN,NaN,69.80193633504734,NaN
1619827200,57791.435,59594.7475,29641.5,37308.4825,NaN,NaN,NaN,0,67.62589928057554,NaN,NaN,70.93905648966991,NaN
1622505600,37279.855,41346.485,28754.4,35041.1075,NaN,NaN,NaN,0,66.42857142857143,NaN,NaN,71.18773373834716,NaN
1625097600,35068.0775,42406.4825,29292.725,41493.865,NaN,NaN,NaN,0,60.28368794326241,NaN,NaN,68.9797654446467,NaN
1627776000,41497.9925,50526.825,37316.515,47140.64,NaN,NaN,NaN,0,56.33802816901409,NaN,NaN,64.77291852370499,NaN
1630454400,47124.365,52935.0525,39585.5525,43821.91,NaN,NaN,NaN,0,49.65034965034965,NaN,NaN,60.065307294354625,NaN
1633046400,43822.7725,66998.105,43294.705,61357.63,NaN,NaN,NaN,0,40.97222222222222,NaN,NaN,54.73457188268395,NaN
1635724800,61359.0625,68997.75,53479.41,57014.33,NaN,NaN,NaN,0,24.82758620689655,NaN,NaN,46.41437483834898,NaN
1638316800,56962.59,59103.77,41631.28,46195.56,NaN,NaN,NaN,0,15.753424657534246,NaN,NaN,37.508322181203354,NaN
1640995200,46252.09,47953,32992.55,38498.99,NaN,NaN,NaN,0,13.60544217687075,NaN,NaN,28.961804982774687,NaN
1643673600,38497.02,45866.71,34329.29,43188.92,NaN,NaN,NaN,0,12.837837837837837,NaN,NaN,21.599302620272322,NaN
1646092800,43201.82,48222.96,37166.86,45526.92,NaN,NaN,NaN,0,12.751677852348994,NaN,NaN,15.955193746297677,NaN
1648771200,45520.97,47455.7,37596.05,37648.79,NaN,NaN,NaN,0,12,NaN,NaN,13.389676504918366,NaN
1651363200,37644.98,40032.42,25365.62,31775.89,NaN,NaN,NaN,0,14.56953642384106,NaN,NaN,13.15289885817973,NaN
1654041600,31781.64,31952.54,17585.31,19949.77,NaN,NaN,NaN,0,21.052631578947366,NaN,NaN,14.642336738595052,NaN
1656633600,19960.39,24675.03,18758.64,23315.95,NaN,NaN,NaN,0,26.797385620915033,NaN,NaN,17.434246295210492,NaN
1659312000,23304.94,25207.71,19522.36,20053.81,NaN,NaN,NaN,0,37.66233766233766,NaN,NaN,22.416378257208223,NaN
1661990400,20050.07,22792.25,18152.13,19426.02,NaN,NaN,NaN,0,45.806451612903224,NaN,NaN,29.177668579788865,NaN
1664582400,19423.86,21077.68,18160.71,20495.81,NaN,NaN,NaN,0,50.641025641025635,NaN,NaN,36.39196642322578,NaN
1667260800,20493.23,21473.69,15473.78,17167.82,NaN,NaN,NaN,0,50.318471337579616,NaN,NaN,42.24513437495223,NaN
1669852800,17168.27,18376.59,16270.67,16528.89,NaN,NaN,NaN,0,48.734177215189874,NaN,NaN,46.6324926938072,NaN
1672531200,16530.33,23955.86,16491.36,23132.21,NaN,NaN,NaN,0,47.16981132075472,NaN,NaN,48.533987425490615,NaN
1675209600,23134.83,25262.85,21370.29,23136.03,NaN,NaN,NaN,0,46.25,NaN,NaN,48.62269710290997,NaN
1677628800,23142.91,29182.1,19559.36,28475.84,NaN,NaN,NaN,0,40.37267080745342,NaN,NaN,46.56902613619552,NaN
1680307200,28476.44,31046.25,26972.79,29248.47,NaN,NaN,NaN,0,21.604938271604937,NaN,NaN,40.826319523000585,NaN
1682899200,29250.13,29870.31,25823.6,27219.57,NaN,NaN,NaN,0,15.337423312883436,NaN,NaN,34.1469687425393,NaN
1685577600,27223.41,31441.74,24770.53,30477.68,NaN,NaN,NaN,0,14.02439024390244,NaN,NaN,27.51788452716885,NaN
1688169600,30477.43,31829,28874,29240.57,NaN,NaN,NaN,0,15.151515151515152,NaN,NaN,21.29818755747188,NaN
1690848000,29237.8,30226.5,25253.44,25941.91,NaN,NaN,NaN,0,15.060240963855422,NaN,NaN,16.23570158875228,NaN
1693526400,25940.2,27497.13,24915.5,26969.98,NaN,NaN,NaN,0,13.77245508982036,NaN,NaN,14.669204952395367,NaN
1696118400,26968.53,35194.81,26541.83,34660.4,NaN,NaN,NaN,0,17.261904761904763,NaN,NaN,15.054101242199627,NaN
1698796800,34661.82,38439.5,34103.12,37723.24,NaN,NaN,NaN,0,19.526627218934912,NaN,NaN,16.15454863720612,NaN
1701388800,37728.57,44720.5,37623.49,42278.29,NaN,NaN,NaN,0,20,NaN,NaN,17.124245606903088,NaN
1704067200,42279.67,48975.07,38524,42562.95,NaN,NaN,NaN,0,18.71345029239766,NaN,NaN,17.854887472611534,NaN
1706745600,42559.54,64005.2,41866.89,61165.98,NaN,NaN,NaN,0,33.13953488372093,NaN,NaN,21.728303431391648,NaN
1709251200,61161.73,73757.39,59173.92,71320.68,NaN,NaN,NaN,0,49.13294797687861,NaN,NaN,28.102512074386418,NaN
1711929600,71316.8,72756.63,59144.58,60675.03,NaN,NaN,NaN,0,51.14942528735632,NaN,NaN,34.427071688070704,NaN
1714521600,63062,63062,56522.25,58340.42,NaN,NaN,NaN,0,46.85714285714286,NaN,NaN,39.79850025949927,NaN
